rho,V,W,CL,TR,PR,RC
1.225,10,50000,17.3686,48974.64,489746.39,6.3243
1.225,20,50000,4.3422,12589.11,251782.19,27.2028
1.225,30,50000,1.9298,6260.47,187814.13,44.6013
1.225,40,50000,1.0855,4529.08,181163.1,60.8535
1.225,50,50000,0.6947,4258.3,212915.04,76.3377
1.225,60,50000,0.4825,4674.17,280450.06,91.1062
1.225,70,50000,0.3545,5511.48,385803.77,105.1183
1.225,80,50000,0.2714,6659.47,532757.55,118.2984
1.225,90,50000,0.2144,8065.21,725868.71,130.5554
1.225,100,50000,0.1737,9700.83,970082.52,141.7903
1.225,110,50000,0.1435,11550.51,1270555.85,151.9001
1.225,120,50000,0.1206,13604.74,1632569.03,160.779
1.225,130,50000,0.1028,15857.53,2061478.34,168.32
1.225,140,50000,0.0886,18304.92,2562688.88,174.415
1.225,150,50000,0.0772,20944.26,3141638.35,178.9552
1.225,160,50000,0.0678,23773.67,3803786.77,181.8315
1.225,170,50000,0.0601,26791.82,4554610.02,182.9342
1.225,180,50000,0.0536,29997.75,5399595.35,182.1537
1.225,190,50000,0.0481,33390.73,6344238.44,179.38
1.225,200,50000,0.0434,36970.21,7394041.26,174.5032
1.225,210,50000,0.0394,40735.76,8554510.59,167.413
1.225,220,50000,0.0359,44687.08,9831156.93,157.9993
1.225,230,50000,0.0328,48823.89,11229493.67,146.1517
1.225,240,50000,0.0302,53145.99,12755036.52,131.7601
1.225,250,50000,0.0278,57653.21,14413303.01,114.7139
1.225,260,50000,0.0257,62345.43,16209812.17,94.903
1.225,270,50000,0.0238,67222.53,18150084.24,72.2167
1.225,280,50000,0.0222,72284.43,20239640.44,46.5448
1.225,290,50000,0.0207,77531.04,22484002.84,17.7767
1.225,300,50000,0.0193,82962.31,24888694.17,-14.1979
1.225,310,50000,0.0181,88578.19,27459237.75,-49.4896
1.225,320,50000,0.017,94378.62,30201157.39,-88.2087
1.225,330,50000,0.0159,100363.57,33119977.28,-130.4659
1.225,340,50000,0.015,106533.01,36221222.01,-176.3716
1.225,350,50000,0.0142,112886.9,39510416.43,-226.0363
1.225,360,50000,0.0134,119425.24,42993085.68,-279.5705
1.225,370,50000,0.0127,126147.99,46674755.09,-337.0847
1.225,380,50000,0.012,133055.13,50560950.22,-398.6894
1.225,390,50000,0.0114,140146.66,54657196.78,-464.4951
1.225,10,60000,20.8424,70482.95,704829.47,1.6855
1.225,20,60000,5.2106,17966.19,359323.74,20.8766
1.225,30,60000,2.3158,8650.28,259508.49,35.9729
1.225,40,60000,1.3026,5873.35,234933.87,49.8151
1.225,50,60000,0.8337,5118.63,255931.65,62.8978
1.225,60,60000,0.579,5271.62,316297.25,75.3244
1.225,70,60000,0.4254,5950.43,416529.92,87.0865
1.225,80,60000,0.3257,6995.54,559642.93,98.134
1.225,90,60000,0.2573,8330.74,749766.83,108.3979
1.225,100,60000,0.2084,9915.91,991590.83,117.8002
1.225,110,60000,0.1723,11728.26,1290108.86,126.2575
1.225,120,60000,0.1447,13754.11,1650492.62,133.6838
1.225,130,60000,0.1233,15984.79,2078023.19,139.9909
1.225,140,60000,0.1063,18414.66,2578051.96,145.0898
1.225,150,60000,0.0926,21039.85,3155977.22,148.8904
1.225,160,60000,0.0814,23857.68,3817229.47,151.3022
1.225,170,60000,0.0721,26866.25,4567261.97,152.2343
1.225,180,60000,0.0643,30064.14,5411544.42,151.5956
1.225,190,60000,0.0577,33450.31,6355558.6,149.2947
1.225,200,60000,0.0521,37023.98,7404795.41,145.2401
1.225,210,60000,0.0473,40784.54,8564752.64,139.3401
1.225,220,60000,0.0431,44731.52,9840933.43,131.5031
1.225,230,60000,0.0394,48864.54,11238845.11,121.6372
1.225,240,60000,0.0362,53183.33,12763998.31,109.6507
1.225,250,60000,0.0333,57687.63,14421906.33,95.4516
1.225,260,60000,0.0308,62377.25,16218084.6,78.9479
1.225,270,60000,0.0286,67252.04,18158050.28,60.0478
1.225,280,60000,0.0266,72311.86,20247321.98,38.6593
1.225,290,60000,0.0248,77556.62,22491419.5,14.6903
1.225,300,60000,0.0232,82986.21,24895863.61,-11.9511
1.225,310,60000,0.0217,88600.57,27466175.92,-41.3569
1.225,320,60000,0.0204,94399.62,30207878.73,-73.6193
1.225,330,60000,0.0191,100383.32,33126494.95,-108.8302
1.225,340,60000,0.018,106551.61,36227547.98,-147.0818
1.225,350,60000,0.017,112904.46,39516561.66,-188.466
1.225,360,60000,0.0161,119441.83,42999060.21,-233.075
1.225,370,60000,0.0152,126163.7,46680568.15,-281.0008
1.225,380,60000,0.0144,133070.03,50566610.3,-332.3355
1.225,390,60000,0.0137,140160.8,54662711.73,-387.1712
1.225,10,70000,24.3161,95901.86,959018.57,-2.1866
1.225,20,70000,6.079,24320.91,486418.28,16.0786
1.225,30,70000,2.7018,11474.61,344238.19,29.6235
1.225,40,70000,1.5198,7462.03,298481.14,41.7908
1.225,50,70000,0.9726,6135.39,306769.47,53.1862
1.225,60,70000,0.6754,5977.7,358662.09,63.9585
1.225,70,70000,0.4962,6469.18,452842.65,74.1268
1.225,80,70000,0.3799,7392.71,591416.57,83.6609
1.225,90,70000,0.3002,8644.56,778010.06,92.509
1.225,100,70000,0.2432,10170.1,1017009.74,100.6084
1.225,110,70000,0.201,11938.34,1313216.96,107.8906
1.225,120,70000,0.1689,13930.63,1671675.05,114.2835
1.225,130,70000,0.1439,16135.2,2097576.2,119.7129
1.225,140,70000,0.1241,18544.35,2596208.33,124.1033
1.225,150,70000,0.1081,21152.82,3172923.16,127.3782
1.225,160,70000,0.095,23956.98,3833116.29,129.4606
1.225,170,70000,0.0841,26954.2,4582214.27,130.2729
1.225,180,70000,0.075,30142.59,5425666.03,129.7373
1.225,190,70000,0.0674,33520.72,6368936.98,127.7758
1.225,200,70000,0.0608,37087.52,7417504.87,124.3099
1.225,210,70000,0.0551,40842.18,8576856.88,119.2615
1.225,220,70000,0.0502,44784.03,9852487.48,112.5519
1.225,230,70000,0.046,48912.59,11249896.81,104.1026
1.225,240,70000,0.0422,53227.46,12774589.52,93.835
1.225,250,70000,0.0389,57728.3,14432073.89,81.6704
1.225,260,70000,0.036,62414.85,16227861.1,67.53
1.225,270,70000,0.0334,67286.91,18167464.69,51.3351
1.225,280,70000,0.031,72344.29,20256400.16,33.0069
1.225,290,70000,0.0289,77586.84,22500184.64,12.4665
1.225,300,70000,0.027,83014.46,24904336.58,-10.3648
1.225,310,70000,0.0253,88627.02,27474375.57,-35.5659
1.225,320,70000,0.0237,94424.44,30215822.14,-63.2157
1.225,330,70000,0.0223,100406.66,33134197.65,-93.3931
1.225,340,70000,0.021,106573.6,36235024.13,-126.1769
1.225,350,70000,0.0198,112925.21,39523824.21,-161.6461
1.225,360,70000,0.0188,119461.45,43006121.02,-199.8794
1.225,370,70000,0.0178,126182.27,46687438.12,-240.956
1.225,380,70000,0.0168,133087.63,50573299.49,-284.9546
1.225,390,70000,0.016,140177.51,54669229.4,-331.9541
1.225,10,80000,27.7898,125231.37,1252313.68,-5.5794
1.225,20,80000,6.9475,31653.29,633065.84,12.2357
1.225,30,80000,3.0878,14733.44,442003.23,24.6985
1.225,40,80000,1.7369,9295.12,371804.92,35.6504
1.225,50,80000,1.1116,7308.57,365428.5,45.8046
1.225,60,80000,0.7719,6792.41,407544.61,55.3527
1.225,70,80000,0.5671,7067.74,494741.95,64.3372
1.225,80,80000,0.4342,7850.98,628078.46,72.745
1.225,90,80000,0.3431,9006.65,810598.41,80.538
1.225,100,80000,0.2779,10463.39,1046339.25,87.6658
1.225,110,80000,0.2297,12180.73,1339880.15,94.071
1.225,120,80000,0.193,14134.3,1696116.31,99.6925
1.225,130,80000,0.1644,16308.75,2120137.36,104.4668
1.225,140,80000,0.1418,18693.99,2617157.98,108.3285
1.225,150,80000,0.1235,21283.17,3192476.17,111.2115
1.225,160,80000,0.1086,24071.55,3851447.23,113.0489
1.225,170,80000,0.0962,27055.69,4599466.92,113.7732
1.225,180,80000,0.0858,30233.11,5441960.2,113.3165
1.225,190,80000,0.077,33601.97,6384373.56,111.6108
1.225,200,80000,0.0695,37160.85,7432169.62,108.5879
1.225,210,80000,0.063,40908.68,8590823.32,104.1792
1.225,220,80000,0.0574,44844.63,9865819.08,98.3163
1.225,230,80000,0.0525,48968.04,11262648.77,90.9304
1.225,240,80000,0.0482,53278.38,12786810.15,81.9529
1.225,250,80000,0.0445,57775.22,14443805.7,71.3149
1.225,260,80000,0.0411,62458.24,16239141.68,58.9477
1.225,270,80000,0.0381,67327.14,18178327.47,44.7824
1.225,280,80000,0.0354,72381.7,20266874.99,28.7501
1.225,290,80000,0.033,77621.72,22510298.26,10.7818
1.225,300,80000,0.0309,83047.04,24914113.08,-9.1914
1.225,310,80000,0.0289,88657.54,27483836.7,-31.2385
1.225,320,80000,0.0271,94453.09,30224987.62,-55.4283
1.225,330,80000,0.0255,100433.59,33143085.38,-81.8301
1.225,340,80000,0.024,106598.97,36243650.46,-110.5126
1.225,350,80000,0.0227,112949.15,39532204.07,-141.5451
1.225,360,80000,0.0214,119484.08,43014268.1,-174.9964
1.225,370,80000,0.0203,126203.69,46695365.02,-210.9356
1.225,380,80000,0.0192,133107.94,50581017.78,-249.4317
1.225,390,80000,0.0183,140196.79,54676749.79,-290.5539
1.225,10,90000,31.2636,158471.48,1584714.81,-8.6528
1.225,20,90000,7.8159,39963.32,799266.4,9.0295
1.225,30,90000,3.4737,18426.79,552803.6,20.7231
1.225,40,90000,1.954,11372.63,454905.2,30.7659
1.225,50,90000,1.2505,8638.17,431908.72,39.9766
1.225,60,90000,0.8684,7715.75,462944.8,48.5868
1.225,70,90000,0.638,7746.11,542227.83,56.661
1.225,80,90000,0.4885,8370.36,669628.6,64.2006
1.225,90,90000,0.386,9417.02,847531.87,71.179
1.225,100,90000,0.3126,10795.79,1079579.36,77.5558
1.225,110,90000,0.2584,12455.44,1370098.44,83.2829
1.225,120,90000,0.2171,14365.14,1723816.4,88.3078
1.225,130,90000,0.185,16505.44,2145706.68,92.5753
1.225,140,90000,0.1595,18863.58,2640900.91,96.0282
1.225,150,90000,0.1389,21430.91,3214636.24,98.6085
1.225,160,90000,0.1221,24201.39,3872222.3,100.2571
1.225,170,90000,0.1082,27170.71,4619019.93,100.9144
1.225,180,90000,0.0965,30335.71,5460426.93,100.5206
1.225,190,90000,0.0866,33694.04,6401868.36,99.0152
1.225,200,90000,0.0782,37243.95,7448789.68,96.3379
1.225,210,90000,0.0709,40984.06,8606651.94,92.4279
1.225,220,90000,0.0646,44913.31,9880928.22,87.2244
1.225,230,90000,0.0591,49030.87,11277100.99,80.6664
1.225,240,90000,0.0543,53336.08,12800660.2,72.6931
1.225,250,90000,0.05,57828.41,14457101.74,63.2433
1.225,260,90000,0.0462,62507.41,16251926.34,52.2559
1.225,270,90000,0.0429,67372.74,18190638.62,39.6698
1.225,280,90000,0.0399,72424.09,20278746.46,25.4237
1.225,290,90000,0.0372,77661.24,22521760.37,9.4564
1.225,300,90000,0.0347,83083.98,24925193.12,-8.2933
1.225,310,90000,0.0325,88692.13,27494559.32,-27.8867
1.225,320,90000,0.0305,94485.55,30235375.15,-49.3851
1.225,330,90000,0.0287,100464.12,33153158.15,-72.8498
1.225,340,90000,0.027,106627.73,36253426.96,-98.3421
1.225,350,90000,0.0255,112976.29,39541701.25,-125.9233
1.225,360,90000,0.0241,119509.73,43023501.47,-155.6549
1.225,370,90000,0.0228,126227.97,46704348.83,-187.5981
1.225,380,90000,0.0217,133130.96,50589765.18,-221.8143
1.225,390,90000,0.0206,140218.65,54685272.89,-258.3648
1.225,10,100000,34.7373,195622.2,1956221.95,-11.5026
1.225,20,100000,8.6843,49251,985019.98,6.269
1.225,30,100000,3.8597,22554.64,676639.32,17.4124
1.225,40,100000,2.1711,13694.55,547781.99,26.7606
1.225,50,100000,1.3895,10124.2,506210.15,35.2359
1.225,60,100000,0.9649,8747.71,524862.66,43.109
1.225,70,100000,0.7089,8504.29,595300.28,50.4642
1.225,80,100000,0.5428,8950.84,716066.99,57.3161
1.225,90,100000,0.4289,9875.67,888810.44,63.6483
1.225,100,100000,0.3474,11167.3,1116730.08,69.4287
1.225,110,100000,0.2871,12762.47,1403871.81,74.6169
1.225,120,100000,0.2412,14623.13,1754775.33,79.1674
1.225,130,100000,0.2055,16725.26,2174284.15,83.032
1.225,140,100000,0.1772,19053.12,2667437.14,86.16
1.225,150,100000,0.1544,21596.02,3239403.38,88.5
1.225,160,100000,0.1357,24346.51,3895441.5,89.9992
1.225,170,100000,0.1202,27299.25,4640873.29,90.6045
1.225,180,100000,0.1072,30450.37,5481066.22,90.2621
1.225,190,100000,0.0962,33796.95,6421421.37,88.9182
1.225,200,100000,0.0868,37336.83,7467365.04,86.5183
1.225,210,100000,0.0788,41068.3,8624342.76,83.0082
1.225,220,100000,0.0718,44990.07,9897814.91,78.3331
1.225,230,100000,0.0657,49101.1,11293253.48,72.4383
1.225,240,100000,0.0603,53400.58,12816139.66,65.269
1.225,250,100000,0.0556,57887.85,14471962.03,56.7704
1.225,260,100000,0.0514,62562.37,16266215.08,46.8874
1.225,270,100000,0.0477,67423.7,18204398.15,35.5652
1.225,280,100000,0.0443,72471.48,20292014.57,22.7487
1.225,290,100000,0.0413,77705.42,22534570.96,8.3827
1.225,300,100000,0.0386,83125.26,24937576.69,-7.5878
1.225,310,100000,0.0361,88730.79,27506543.42,-25.2178
1.225,320,100000,0.0339,94521.83,30246984.75,-44.5626
1.225,330,100000,0.0319,100498.23,33164415.94,-65.6774
1.225,340,100000,0.03,106659.86,36264353.65,-88.6171
1.225,350,100000,0.0284,113006.62,39552315.74,-113.4372
1.225,360,100000,0.0268,119538.39,43033821.11,-140.1926
1.225,370,100000,0.0254,126255.11,46714389.57,-168.9387
1.225,380,100000,0.0241,133156.69,50599541.68,-199.7306
1.225,390,100000,0.0228,140243.07,54694798.72,-232.6236
1.225,10,110000,38.211,236683.51,2366835.11,-14.1898
1.225,20,110000,9.5528,59516.33,1190326.55,3.8327
1.225,30,110000,4.2457,27117.01,813510.37,14.5852
1.225,40,110000,2.3882,16260.88,650435.28,23.3946
1.225,50,110000,1.5284,11766.66,588332.78,31.2861
1.225,60,110000,1.0614,9888.3,593298.18,38.5678
1.225,70,110000,0.7798,9342.28,653959.3,45.3433
1.225,80,110000,0.597,9592.42,767393.64,51.639
1.225,90,110000,0.4717,10382.6,934434.12,57.4473
1.225,100,110000,0.3821,11577.91,1157791.39,62.7437
1.225,110,110000,0.3158,13101.82,1441200.28,67.4942
1.225,120,110000,0.2654,14908.28,1788993.09,71.6593
1.225,130,110000,0.2261,16968.23,2205869.78,75.1965
1.225,140,110000,0.195,19262.62,2696766.65,78.0607
1.225,150,110000,0.1698,21778.52,3266777.59,80.2057
1.225,160,110000,0.1493,24506.91,3921104.82,81.5841
1.225,170,110000,0.1322,27441.34,4665027.01,82.1481
1.225,180,110000,0.1179,30577.1,5503878.06,81.8491
1.225,190,110000,0.1058,33910.7,6443032.58,80.6382
1.225,200,110000,0.0955,37439.48,7487895.7,78.4664
1.225,210,110000,0.0866,41161.41,8643895.77,75.2842
1.225,220,110000,0.0789,45074.91,9916479.14,71.0422
1.225,230,110000,0.0722,49178.72,11311106.22,65.6907
1.225,240,110000,0.0663,53471.87,12833248.55,59.1799
1.225,250,110000,0.0611,57953.55,14488386.56,51.4601
1.225,260,110000,0.0565,62623.11,16282007.89,42.4814
1.225,270,110000,0.0524,67480.02,18219606.04,32.1938
1.225,280,110000,0.0487,72523.85,20306679.33,20.5473
1.225,290,110000,0.0454,77754.24,22548730.04,7.4919
1.225,300,110000,0.0425,83170.88,24951263.8,-7.0224
1.225,310,110000,0.0398,88773.51,27519789,-23.0457
1.225,320,110000,0.0373,94561.93,30259816.41,-40.6281
1.225,330,110000,0.0351,100535.94,33176858.76,-59.8198
1.225,340,110000,0.0331,106695.38,36276430.5,-80.6708
1.225,350,110000,0.0312,113040.14,39564047.54,-103.2313
1.225,360,110000,0.0295,119570.08,43045227.03,-127.5515
1.225,370,110000,0.0279,126285.1,46725487.22,-153.6815
1.225,380,110000,0.0265,133185.12,50610347.29,-181.6715
1.225,390,110000,0.0251,140270.07,54705327.26,-211.5717
1.225,10,120000,41.6848,281655.43,2816554.28,-16.755
1.225,20,120000,10.4212,70759.31,1415186.14,1.6394
1.225,30,120000,4.6316,32113.89,963416.76,12.1205
1.225,40,120000,2.6053,19071.63,762865.07,20.5081
1.225,50,120000,1.6674,13565.53,678276.62,27.9294
1.225,60,120000,1.1579,11137.52,668251.38,34.7292
1.225,70,120000,0.8507,10260.07,718204.9,41.0293
1.225,80,120000,0.6513,10295.11,823608.54,46.8673
1.225,90,120000,0.5146,10937.81,984402.92,52.2436
1.225,100,120000,0.4168,12027.63,1202763.31,57.1403
1.225,110,120000,0.3445,13473.49,1482083.84,61.529
1.225,120,120000,0.2895,15220.58,1826469.69,65.3754
1.225,130,120000,0.2467,17234.34,2240463.56,68.6418
1.225,140,120000,0.2127,19492.07,2728889.45,71.2879
1.225,150,120000,0.1853,21978.39,3296758.87,73.272
1.225,160,120000,0.1628,24682.58,3949212.27,74.5512
1.225,170,120000,0.1442,27596.95,4691481.08,75.082
1.225,180,120000,0.1287,30715.9,5528862.46,74.8201
1.225,190,120000,0.1155,34035.27,6466702.01,73.7211
1.225,200,120000,0.1042,37551.91,7510381.65,71.7402
1.225,210,120000,0.0945,41263.39,8665310.97,68.8321
1.225,220,120000,0.0861,45167.82,9936920.92,64.9517
1.225,230,120000,0.0788,49263.74,11330659.23,60.0535
1.225,240,120000,0.0724,53549.95,12851986.85,54.0921
1.225,250,120000,0.0667,58025.5,14506375.32,47.0219
1.225,260,120000,0.0617,62689.63,16299304.78,38.7971
1.225,270,120000,0.0572,67541.71,18236262.31,29.3721
1.225,280,120000,0.0532,72581.22,20322740.72,18.7012
1.225,290,120000,0.0496,77807.72,22564237.6,6.7384
1.225,300,120000,0.0463,83220.85,24966254.44,-6.5621
1.225,310,120000,0.0434,88820.31,27534296.07,-21.2461
1.225,320,120000,0.0407,94605.84,30273870.13,-37.3596
1.225,330,120000,0.0383,100577.23,33190486.61,-54.9484
1.225,340,120000,0.0361,106734.29,36289657.54,-74.0585
1.225,350,120000,0.034,113076.85,39576896.66,-94.7358
1.225,360,120000,0.0322,119604.78,43057719.23,-117.0263
1.225,370,120000,0.0304,126317.95,46737641.79,-140.976
1.225,380,120000,0.0289,133216.27,50622182.01,-166.6309
1.225,390,120000,0.0274,140299.64,54716858.52,-194.0368
1.225,10,130000,45.1585,330537.95,3305379.47,-19.2263
1.225,20,130000,11.2896,82979.94,1659598.73,-0.3668
1.225,30,130000,5.0176,37545.28,1126358.49,9.9348
1.225,40,130000,2.8224,22126.78,885071.37,17.9905
1.225,50,130000,1.8063,15520.83,776041.65,25.0289
1.225,60,130000,1.2544,12495.37,749722.24,31.4311
1.225,70,130000,0.9216,11257.67,788037.07,37.336
1.225,80,130000,0.7056,11058.9,884711.68,42.7921
1.225,90,130000,0.5575,11541.3,1038716.83,47.8071
1.225,100,130000,0.4516,12516.46,1251645.83,52.3689
1.225,110,130000,0.3732,13877.48,1526522.5,56.4541
1.225,120,130000,0.3136,15560.04,1867205.12,60.0332
1.225,130,130000,0.2672,17523.58,2278065.5,63.0724
1.225,140,130000,0.2304,19741.47,2763805.53,65.5356
1.225,150,130000,0.2007,22195.65,3329347.22,67.385
1.225,160,130000,0.1764,24873.52,3979763.84,68.5815
1.225,170,130000,0.1563,27766.09,4720235.5,69.0853
1.225,180,130000,0.1394,30866.77,5556019.41,68.8559
1.225,190,130000,0.1251,34170.68,6492429.66,67.8524
1.225,200,130000,0.1129,37674.11,7534822.91,66.0337
1.225,210,130000,0.1024,41374.23,8688588.36,63.3582
1.225,220,130000,0.0933,45268.82,9959140.25,59.7845
1.225,230,130000,0.0854,49356.14,11351912.5,55.2705
1.225,240,130000,0.0784,53634.81,12872354.56,49.7745
1.225,250,130000,0.0723,58103.71,14525928.33,43.2544
1.225,260,130000,0.0668,62761.95,16318105.75,35.6681
1.225,270,130000,0.0619,67608.77,18254366.94,26.9735
1.225,280,130000,0.0576,72643.57,20340198.77,17.1283
1.225,290,130000,0.0537,77865.84,22581093.64,6.0904
1.225,300,130000,0.0502,83275.16,24982548.61,-6.1827
1.225,310,130000,0.047,88871.18,27550064.63,-19.7331
1.225,320,130000,0.0441,94653.58,30289145.92,-34.6033
1.225,330,130000,0.0415,100622.12,33205299.5,-50.8355
1.225,340,130000,0.0391,106776.57,36304034.75,-68.4723
1.225,350,130000,0.0369,113116.75,39590863.09,-87.5559
1.225,360,130000,0.0348,119642.49,43071297.71,-108.1288
1.225,370,130000,0.033,126353.66,46750853.28,-130.2333
1.225,380,130000,0.0313,133250.12,50635045.83,-153.912
1.225,390,130000,0.0297,140331.78,54729392.5,-179.2073
1.225,10,140000,48.6322,383331.07,3833310.67,-21.6239
1.225,20,140000,12.1581,96178.22,1923564.34,-2.226
1.225,30,140000,5.4036,43411.19,1302335.56,7.9682
1.225,40,140000,3.0395,25426.35,1017054.17,15.7628
1.225,50,140000,1.9453,17632.56,881627.89,22.4869
1.225,60,140000,1.3509,13961.85,837710.78,28.5575
1.225,70,140000,0.9925,12335.08,863455.81,34.1305
1.225,80,140000,0.7599,11883.79,950703.08,39.2641
1.225,90,140000,0.6004,12193.07,1097375.85,43.9733
1.225,100,140000,0.4863,13044.39,1304438.95,48.2512
1.225,110,140000,0.4019,14313.78,1574516.24,52.0789
1.225,120,140000,0.3377,15926.66,1911199.39,55.4309
1.225,130,140000,0.2878,17835.97,2318675.59,58.2772
1.225,140,140000,0.2481,20010.82,2801514.91,60.5852
1.225,150,140000,0.2161,22430.28,3364542.63,62.3204
1.225,160,140000,0.19,25079.75,4012759.54,63.4471
1.225,170,140000,0.1683,27948.77,4751290.27,63.9288
1.225,180,140000,0.1501,31029.72,5585348.93,63.7281
1.225,190,140000,0.1347,34316.92,6520215.51,62.8073
1.225,200,140000,0.1216,37806.1,7561219.47,61.1284
1.225,210,140000,0.1103,41493.94,8713727.94,58.6531
1.225,220,140000,0.1005,45377.9,9983137.12,55.3427
1.225,230,140000,0.0919,49455.94,11374866.03,51.1587
1.225,240,140000,0.0844,53726.47,12894351.69,46.0621
1.225,250,140000,0.0778,58188.18,14547045.58,40.014
1.225,260,140000,0.0719,62840.04,16338410.8,32.9754
1.225,270,140000,0.0667,67681.19,18273919.95,24.9071
1.225,280,140000,0.062,72710.91,20359053.45,15.7702
1.225,290,140000,0.0578,77928.61,22599298.16,5.5253
1.225,300,140000,0.054,83333.82,25000146.32,-5.8668
1.225,310,140000,0.0506,88926.11,27567094.67,-18.4452
1.225,320,140000,0.0475,94705.14,30305643.77,-32.2495
1.225,330,140000,0.0447,100670.6,33221297.41,-47.3187
1.225,340,140000,0.0421,106822.24,36319562.14,-63.6923
1.225,350,140000,0.0397,113159.85,39605946.84,-81.4096
1.225,360,140000,0.0375,119683.23,43085962.46,-100.51
1.225,370,140000,0.0355,126392.22,46765121.69,-121.0329
1.225,380,140000,0.0337,133286.68,50648938.75,-143.0176
1.225,390,140000,0.032,140366.49,54742929.2,-166.5035
1.225,10,150000,52.1059,440034.79,4400347.89,-23.9626
1.225,20,150000,13.0265,110354.15,2207082.94,-3.9678
1.225,30,150000,5.7895,49711.6,1491347.96,6.1769
1.225,40,150000,3.2566,28970.34,1158813.47,13.7668
1.225,50,150000,2.0842,19900.71,995035.34,20.2318
1.225,60,150000,1.4474,15536.95,932216.98,26.0236
1.225,70,150000,1.0634,13492.3,944461.13,31.3151
1.225,80,150000,0.8142,12769.78,1021582.74,36.174
1.225,90,150000,0.6433,12893.11,1160379.99,40.6217
1.225,100,150000,0.5211,13611.43,1361142.67,44.6564
1.225,110,150000,0.4306,14782.41,1626065.08,48.2633
1.225,120,150000,0.3618,16320.44,1958452.49,51.4205
1.225,130,150000,0.3083,18171.49,2362293.84,54.1012
1.225,140,150000,0.2658,20300.13,2842017.56,56.2761
1.225,150,150000,0.2316,22682.3,3402345.11,57.9137
1.225,160,150000,0.2035,25301.25,4048199.37,58.9811
1.225,170,150000,0.1803,28144.97,4784645.41,59.4445
1.225,180,150000,0.1608,31204.73,5616850.99,59.2695
1.225,190,150000,0.1443,34474,6550059.57,58.4212
1.225,200,150000,0.1303,37947.86,7589571.33,56.8642
1.225,210,150000,0.1182,41622.52,8740729.71,54.5629
1.225,220,150000,0.1077,45495.05,10008911.54,51.4814
1.225,230,150000,0.0985,49563.13,11399519.82,47.5837
1.225,240,150000,0.0905,53824.91,12917978.25,42.8337
1.225,250,150000,0.0834,58278.91,14569727.07,37.1952
1.225,260,150000,0.0771,62923.92,16360219.92,30.6316
1.225,270,150000,0.0715,67758.97,18294921.33,23.1067
1.225,280,150000,0.0665,72783.23,20379304.78,14.5838
1.225,290,150000,0.062,77996.04,22618851.17,5.0266
1.225,300,150000,0.0579,83396.83,25019047.56,-5.6017
1.225,310,150000,0.0542,88985.12,27585386.19,-17.3375
1.225,320,150000,0.0509,94760.51,30323363.68,-30.2176
1.225,330,150000,0.0478,100722.67,33238480.36,-44.2787
1.225,340,150000,0.0451,106871.29,36336239.7,-59.5573
1.225,350,150000,0.0425,113206.14,39622147.91,-76.0903
1.225,360,150000,0.0402,119726.98,43101713.5,-93.9144
1.225,370,150000,0.0381,126433.64,46780447.02,-113.0662
1.225,380,150000,0.0361,133325.95,50663860.79,-133.5825
1.225,390,150000,0.0343,140403.77,54757468.61,-155.5002
1.225,10,160000,55.5797,500649.11,5006491.12,-26.2533
1.225,20,160000,13.8949,125507.73,2510154.56,-5.614
1.225,30,160000,6.1755,56446.52,1693395.71,4.528
1.225,40,160000,3.4737,32758.73,1310349.28,11.9593
1.225,50,160000,2.2232,22325.28,1116263.98,18.2096
1.225,60,160000,1.5439,17220.68,1033240.85,23.7657
1.225,70,160000,1.1343,14729.33,1031053.02,28.8167
1.225,80,160000,0.8684,13716.88,1097350.64,33.4396
1.225,90,160000,0.6862,13641.44,1227729.24,37.6619
1.225,100,160000,0.5558,14217.57,1421756.99,41.4865
1.225,110,160000,0.4593,15283.35,1681169.01,44.9024
1.225,120,160000,0.386,16741.37,2008964.43,47.891
1.225,130,160000,0.3289,18530.16,2408920.24,50.4285
1.225,140,160000,0.2836,20609.38,2885313.51,52.4883
1.225,150,160000,0.247,22951.7,3442754.66,54.0415
1.225,160,160000,0.2171,25538.02,4086083.32,55.058
1.225,170,160000,0.1923,28354.71,4820300.89,55.5064
1.225,180,160000,0.1715,31391.81,5650525.62,55.3547
1.225,190,160000,0.154,34641.9,6581961.85,54.5705
1.225,200,160000,0.1389,38099.39,7619878.5,53.1208
1.225,210,160000,0.126,41759.97,8769593.67,50.9723
1.225,220,160000,0.1148,45620.29,10036463.51,48.0916
1.225,230,160000,0.1051,49677.71,11425873.87,44.445
1.225,240,160000,0.0965,53930.14,12943234.21,39.9988
1.225,250,160000,0.0889,58375.89,14593972.8,34.7189
1.225,260,160000,0.0822,63013.59,16383533.12,28.5714
1.225,270,160000,0.0762,67842.12,18317371.08,21.5222
1.225,280,160000,0.0709,72860.55,20400952.75,13.537
1.225,290,160000,0.0661,78068.11,22639752.66,4.5818
1.225,300,160000,0.0618,83464.17,25039252.33,-5.3778
1.225,310,160000,0.0578,89048.19,27604939.2,-16.3761
1.225,320,160000,0.0543,94819.71,30342305.66,-28.4474
1.225,330,160000,0.051,100778.33,33256848.34,-41.6261
1.225,340,160000,0.0481,106923.73,36354067.44,-55.9464
1.225,350,160000,0.0454,113255.62,39639466.28,-71.4429
1.225,360,160000,0.0429,119773.75,43118550.81,-88.1499
1.225,370,160000,0.0406,126477.92,46796829.27,-106.1019
1.225,380,160000,0.0385,133367.93,50679811.92,-125.3333
