rho,W,V,S,b,AR,Cd0,e,CL,CD,CL/CD,TR,PR,TA,PA,RC
0.413,180000,90,34,33,32.02941176,0.051,0.77,3.165107851,0.180362289,17.54861216,10257.22139,923149.9253,27172.36571,2445512.914,8.457572161
0.819,90000,110,17,17.47,17.95299412,0.1,0.93,1.068450266,0.121775049,8.773967051,10257.61773,1128337.95,53884.18286,5927260.114,53.32135738
0.819,80000,150,34,33,32.02941176,0.032,0.87,0.255372804,0.032745335,7.798753794,10258.04919,1538707.378,53884.18286,8082627.429,81.79900064
0.525,90000,160,47,54,62.04255319,0.032,0.87,0.284954407,0.032479085,8.773474098,10258.19407,1641311.052,34541.14286,5526582.857,43.16968672
1.112,140000,120,17,17.47,17.95299412,0.051,0.77,1.028588894,0.075373977,13.64647233,10259.06158,1231087.39,73161.4302,8779371.624,53.91631596
0.413,140000,280,17,17.47,17.95299412,0.032,0.87,0.508678047,0.037275944,13.64628199,10259.20467,2872577.309,27172.36571,7608262.4,33.82632208
0.525,90000,110,85,24,6.776470588,0.032,0.87,0.333356483,0.038002959,8.771856055,10260.08628,1128609.491,34541.14286,3799525.714,29.67684692
1.007,60000,10,47,54,62.04255319,0.051,0.77,25.35443386,4.336463497,5.846799789,10262.02404,102620.2404,66253.20163,662532.0163,9.331862932
1.007,110000,90,17,17.47,17.95299412,0.1,0.93,1.586570117,0.148014129,10.71904505,10262.10819,923589.7371,66253.20163,5962788.147,45.81089463
0.413,50000,20,34,33,32.02941176,0.032,0.87,17.80373166,3.654631979,4.87155253,10263.66845,205273.369,27172.36571,543447.3143,6.763478906
0.525,70000,90,47,54,62.04255319,0.1,0.93,0.700464057,0.10270813,6.819947552,10264.00855,923760.7697,34541.14286,3108702.857,31.21345839
1.225,200000,50,47,54,62.04255319,0.1,0.93,2.778983934,0.142625532,19.48447724,10264.58127,513229.0633,80596,4029800,17.58285468
1.007,150000,40,34,33,32.02941176,0.032,0.87,5.476371283,0.374758241,14.61307767,10264.77813,410591.1251,66253.20163,2650128.065,14.93024627
0.413,80000,230,17,17.47,17.95299412,0.051,0.77,0.430789726,0.055275367,7.793520854,10264.93693,2360935.493,27172.36571,6249644.114,48.60885777
0.413,200000,120,34,33,32.02941176,0.051,0.77,1.978192407,0.101532144,19.48341017,10265.14344,1231817.212,27172.36571,3260683.886,10.14433337
0.525,160000,180,34,33,32.02941176,0.032,0.87,0.553307743,0.035498933,15.58660206,10265.22647,1847740.764,34541.14286,6217405.714,27.31040594
1.225,70000,70,103,40,15.53398058,0.032,0.87,0.226442866,0.03320833,6.818857327,10265.6496,718595.4721,80596,5641720,70.3303504
1.225,200000,130,17,17.47,17.95299412,0.032,0.87,1.136549294,0.058338483,19.48198219,10265.89585,1334566.46,80596,10477480,45.7145677
1.225,90000,90,17,17.47,17.95299412,0.1,0.93,1.067093504,0.121719782,8.766804247,10265.99859,923939.8727,80596,7253640,70.33000141
1.225,200000,70,34,33,32.02941176,0.051,0.77,1.959967661,0.100605345,19.48174482,10266.02093,718621.4648,80596,5641720,24.61549268
1.225,170000,60,103,40,15.53398058,0.032,0.87,0.748519473,0.045203058,16.55904484,10266.29263,615977.5577,80596,4835760,24.82224966
1.112,190000,150,17,17.47,17.95299412,0.032,0.87,0.893402925,0.048274549,18.50670698,10266.54824,1539982.236,73161.4302,10974214.53,49.65385418
1.007,200000,130,17,17.47,17.95299412,0.032,0.87,1.382594722,0.070976604,19.47958395,10267.15974,1334730.766,66253.20163,8612916.212,36.39092723
0.525,200000,180,17,17.47,17.95299412,0.032,0.87,1.383269357,0.071014651,19.47864761,10267.65328,1848177.59,34541.14286,6217405.714,21.84614062
0.819,140000,140,17,17.47,17.95299412,0.051,0.77,1.026051446,0.075253868,13.6345343,10268.04414,1437526.179,53884.18286,7543785.6,43.61613872
0.819,120000,60,103,40,15.53398058,0.051,0.77,0.790292052,0.067629228,11.68565828,10268.99787,616139.8724,53884.18286,3233050.971,21.80759249
1.007,160000,130,34,33,32.02941176,0.032,0.87,0.553037889,0.035495521,15.58049788,10269.24821,1335002.267,66253.20163,8612916.212,45.48696216
1.112,90000,110,47,54,62.04255319,0.032,0.87,0.284632501,0.032478003,8.76385483,10269.45354,1129639.889,73161.4302,8047757.322,76.86797148
0.413,50000,300,17,17.47,17.95299412,0.032,0.87,0.158255393,0.032510659,4.86780016,10271.58025,3081474.076,27172.36571,8151709.714,101.4047128
0.819,120000,70,47,54,62.04255319,0.1,0.93,1.272428541,0.10893644,11.68046744,10273.56145,719149.3013,53884.18286,3771892.8,25.43952916
0.413,100000,100,47,54,62.04255319,0.1,0.93,1.03034362,0.105859518,9.733122125,10274.19555,1027419.555,27172.36571,2717236.571,16.89817017
0.525,120000,190,17,17.47,17.95299412,0.051,0.77,0.744896296,0.063783046,11.67859388,10275.2096,1952289.824,34541.14286,6562817.143,38.42106099
0.525,180000,120,47,54,62.04255319,0.051,0.77,1.013171226,0.057843144,17.51583958,10276.41291,1233169.549,34541.14286,4144937.143,16.17648663
1.007,120000,90,47,54,62.04255319,0.051,0.77,0.626035404,0.053612689,11.67700059,10276.61162,924895.0459,66253.20163,5962788.147,41.98244251
0.819,110000,100,17,17.47,17.95299412,0.1,0.93,1.580119227,0.147624478,10.70363971,10276.87805,1027687.805,53884.18286,5388418.286,39.64300437
0.413,100000,210,34,33,32.02941176,0.032,0.87,0.322970189,0.033192139,9.730321562,10277.15265,2158202.056,27172.36571,5706196.8,35.47994744
0.819,200000,160,17,17.47,17.95299412,0.032,0.87,1.122243769,0.057679621,19.45650374,10279.33912,1644694.259,53884.18286,8621469.257,34.88387499
0.413,130000,120,17,17.47,17.95299412,0.051,0.77,2.571650129,0.203358435,12.64589849,10280.01293,1233601.552,27172.36571,3260683.886,15.59294103
1.007,70000,30,85,24,6.776470588,0.1,0.93,1.817343952,0.26690068,6.80906453,10280.41366,308412.4098,66253.20163,1987596.049,23.9883377
1.225,100000,70,85,24,6.776470588,0.032,0.87,0.391993532,0.040300521,9.726760945,10280.91474,719664.032,80596,5641720,49.22055968
0.525,200000,200,17,17.47,17.95299412,0.032,0.87,1.120448179,0.057597512,19.45306548,10281.15595,2056231.191,34541.14286,6908228.571,24.2599869
1.225,190000,30,47,54,62.04255319,0.1,0.93,7.333429826,0.396832892,18.47989414,10281.44418,308443.3254,80596,2417880,11.10229829
0.413,110000,290,17,17.47,17.95299412,0.032,0.87,0.372587012,0.034830542,10.697135,10283.12721,2982106.89,27172.36571,7879986.057,44.52617424
0.525,150000,150,17,17.47,17.95299412,0.051,0.77,1.493930906,0.102416648,14.58679748,10283.27158,1542490.737,34541.14286,5181171.429,24.25787128
1.007,80000,40,17,17.47,17.95299412,0.1,0.93,5.841462702,0.750869215,7.779600738,10283.30408,411332.1632,66253.20163,2650128.065,27.98494878
0.819,150000,120,17,17.47,17.95299412,0.051,0.77,1.496325026,0.102581577,14.58668376,10283.35175,1234002.21,53884.18286,6466101.943,34.88066488
0.413,150000,170,17,17.47,17.95299412,0.051,0.77,1.478510588,0.101360684,14.58662803,10283.39104,1748176.477,27172.36571,4619302.171,19.14083797
1.225,100000,130,17,17.47,17.95299412,0.051,0.77,0.568274647,0.058439766,9.724108805,10283.71875,1336883.437,80596,10477480,91.40596563
1.007,150000,110,17,17.47,17.95299412,0.051,0.77,1.448296538,0.099323427,14.58162073,10286.92233,1131561.457,66253.20163,7287852.18,41.04193815
1.225,150000,100,17,17.47,17.95299412,0.051,0.77,1.44057623,0.098809613,14.57931256,10288.55094,1028855.094,80596,8059600,46.8716327
0.413,110000,180,47,54,62.04255319,0.032,0.87,0.349808019,0.032721973,10.6903095,10289.69273,1852144.692,27172.36571,4891025.829,27.62619215
0.525,200000,110,34,33,32.02941176,0.051,0.77,1.851980462,0.095289774,19.43524874,10290.58093,1131963.902,34541.14286,3799525.714,13.33780906
1.225,140000,60,34,33,32.02941176,0.1,0.93,1.867413632,0.137283742,13.60258403,10292.16211,617529.7268,80596,4835760,30.13021624
0.413,80000,120,103,40,15.53398058,0.032,0.87,0.261198221,0.033607714,7.771972274,10293.3975,1235207.7,27172.36571,3260683.886,25.31845232
0.525,100000,160,47,54,62.04255319,0.032,0.87,0.316616008,0.032591462,9.71469165,10293.6875,1646990,34541.14286,5526582.857,38.79592857
0.413,130000,140,47,54,62.04255319,0.051,0.77,0.683391176,0.054113355,12.62888193,10293.86455,1441141.037,27172.36571,3804131.2,18.17684741
1.225,190000,80,34,33,32.02941176,0.051,0.77,1.425570228,0.077242663,18.45573649,10294.90208,823592.1664,80596,6447680,29.60046228
0.413,150000,110,103,40,15.53398058,0.032,0.87,0.582839005,0.040005078,14.56912564,10295.74483,1132531.931,27172.36571,2988960.229,12.37618865
0.819,110000,50,85,24,6.776470588,0.032,0.87,1.264095382,0.118319165,10.68377537,10295.98585,514799.2923,53884.18286,2694209.143,19.81281682
0.525,60000,60,85,24,6.776470588,0.1,0.93,0.746965453,0.12819583,5.826753139,10297.33002,617839.801,34541.14286,2072468.571,24.24381284
1.007,170000,170,17,17.47,17.95299412,0.032,0.87,0.687230906,0.041629851,16.50812786,10297.95755,1750652.784,66253.20163,11263044.28,55.95524408
0.525,50000,60,103,40,15.53398058,0.1,0.93,0.513689834,0.105817101,4.854506789,10299.7075,617982.4502,34541.14286,2072468.571,29.08972242
1.112,200000,70,34,33,32.02941176,0.051,0.77,2.159137036,0.11119925,19.41683098,10300.34202,721023.9411,73161.4302,5121300.114,22.00138087
1.112,180000,60,103,40,15.53398058,0.032,0.87,0.873087937,0.049963225,17.47461121,10300.65836,618039.5013,73161.4302,4389685.812,20.95359062
0.413,200000,200,17,17.47,17.95299412,0.032,0.87,1.424298533,0.073363403,19.41429198,10301.68909,2060337.819,27172.36571,5434473.143,16.87067662
1.007,200000,80,34,33,32.02941176,0.051,0.77,1.825457094,0.094030255,19.41350778,10302.10523,824168.4182,66253.20163,5300256.131,22.38043856
0.525,140000,120,17,17.47,17.95299412,0.051,0.77,2.178649237,0.160349642,13.58686683,10304.06802,1236488.162,34541.14286,4144937.143,20.77463557
1.112,150000,100,17,17.47,17.95299412,0.051,0.77,1.586965722,0.109020014,14.55664571,10304.57174,1030457.174,73161.4302,7316143.02,41.90457231
1.112,100000,110,47,54,62.04255319,0.032,0.87,0.316258335,0.032590127,9.704114873,10304.90687,1133539.755,73161.4302,8047757.322,69.14217567
0.413,180000,200,34,33,32.02941176,0.032,0.87,0.64093434,0.036694931,17.46656341,10305.40443,2061080.887,27172.36571,5434473.143,18.74106809
0.413,110000,220,17,17.47,17.95299412,0.051,0.77,0.647408424,0.060656048,10.67343558,10305.95999,2267311.198,27172.36571,5977920.457,33.73281145
1.112,170000,50,34,33,32.02941176,0.051,0.77,3.597122302,0.218086389,16.4940248,10306.76272,515338.1362,73161.4302,3658071.51,18.48666691
1.225,100000,170,17,17.47,17.95299412,0.032,0.87,0.332312856,0.034251689,9.702086557,10307.06121,1752200.406,80596,13701320,119.4911959
0.413,120000,110,34,33,32.02941176,0.1,0.93,1.412527471,0.121332033,11.64183469,10307.65366,1133841.903,27172.36571,2988960.229,15.45931938
0.819,180000,70,103,40,15.53398058,0.032,0.87,0.870934099,0.049874707,17.46244043,10307.8376,721548.6319,53884.18286,3771892.8,16.94635649
1.007,80000,190,17,17.47,17.95299412,0.032,0.87,0.258901394,0.033366731,7.759267619,10310.25142,1958947.77,66253.20163,12588108.31,132.8645068
1.225,110000,50,17,17.47,17.95299412,0.032,0.87,4.225690276,0.396090657,10.66849268,10310.73492,515536.7461,80596,4029800,31.94784776
0.819,190000,70,34,33,32.02941176,0.051,0.77,2.784996783,0.151156712,18.42456575,10312.31903,721862.332,53884.18286,3771892.8,16.05279194
1.112,50000,130,34,33,32.02941176,0.032,0.87,0.156505495,0.032279938,4.848382822,10312.71701,1340653.211,73161.4302,9510985.927,163.4066543
0.413,100000,150,17,17.47,17.95299412,0.1,0.93,1.26604314,0.130573666,9.696006664,10313.52426,1547028.64,27172.36571,4075854.857,25.28826217
0.819,120000,100,47,54,62.04255319,0.051,0.77,0.623489985,0.053591486,11.63412377,10314.48542,1031448.542,53884.18286,5388418.286,36.30808119
1.007,140000,180,17,17.47,17.95299412,0.032,0.87,0.504817764,0.037196171,13.5717668,10315.53239,1856795.829,66253.20163,11925576.29,71.91986046
0.525,180000,40,47,54,62.04255319,0.032,0.87,9.118541033,0.522582612,17.44899433,10315.78076,412631.2304,34541.14286,1381645.714,5.383413799
0.819,150000,110,34,33,32.02941176,0.051,0.77,0.890375222,0.061237096,14.53980142,10316.50954,1134816.049,53884.18286,5927260.114,31.9496271
1.225,180000,150,17,17.47,17.95299412,0.032,0.87,0.768307323,0.044036055,17.44723333,10316.82196,1547523.294,80596,12089400,58.5659817
1.225,140000,40,103,40,15.53398058,0.051,0.77,1.386962552,0.102218439,13.56861408,10317.92925,412717.1699,80596,3223840,20.07944879
0.525,190000,220,17,17.47,17.95299412,0.032,0.87,0.879690719,0.047778809,18.41173377,10319.50616,2270291.354,34541.14286,7599051.429,28.04610565
0.819,90000,150,34,33,32.02941176,0.032,0.87,0.287294405,0.032943314,8.720871291,10320.06975,1548010.462,53884.18286,8082627.429,72.60685518
1.112,190000,60,34,33,32.02941176,0.051,0.77,2.79188414,0.151652704,18.40972211,10320.63379,619238.0273,73161.4302,4389685.812,19.84446203
1.112,60000,80,85,24,6.776470588,0.032,0.87,0.198370715,0.034125703,5.812941438,10321.79674,825743.7394,73161.4302,5852914.416,83.78617795
0.413,140000,70,103,40,15.53398058,0.051,0.77,1.343305135,0.099044781,13.56260391,10322.50156,722575.109,27172.36571,1902065.6,8.424932078
1.225,160000,80,47,54,62.04255319,0.051,0.77,0.868432479,0.056027616,15.50007915,10322.52793,825802.2345,80596,6447680,35.13673603
0.413,70000,40,85,24,6.776470588,0.032,0.87,2.492522433,0.367602891,6.780475606,10323.75958,412950.3833,27172.36571,1086894.629,9.627774933
1.112,100000,100,34,33,32.02941176,0.051,0.77,0.528988574,0.05461346,9.68604762,10324.12847,1032412.847,73161.4302,7316143.02,62.83730173
1.225,150000,90,34,33,32.02941176,0.051,0.77,0.889244587,0.061211114,14.5275021,10325.24374,929271.9362,80596,7253640,42.16245376
0.525,140000,60,103,40,15.53398058,0.051,0.77,1.438331535,0.106082656,13.55859279,10325.55533,619533.3198,34541.14286,2072468.571,10.37810894
0.525,60000,30,85,24,6.776470588,0.032,0.87,2.987861811,0.514245914,5.810180947,10326.70076,309801.0228,34541.14286,1036234.286,12.10722105
0.819,140000,50,103,40,15.53398058,0.051,0.77,1.327690648,0.097934334,13.55694772,10326.80829,516340.4143,53884.18286,2694209.143,15.5562052
0.413,160000,60,103,40,15.53398058,0.032,0.87,2.089585766,0.13489369,15.49061161,10328.83685,619730.2109,27172.36571,1630341.943,6.316323325
0.525,100000,260,17,17.47,17.95299412,0.032,0.87,0.331493544,0.0342406,9.681300641,10329.19064,2685589.567,34541.14286,8980697.143,62.95107575
0.525,130000,50,34,33,32.02941176,0.1,0.93,5.826330532,0.462934855,12.58563806,10329.23395,516461.6976,34541.14286,1727057.143,9.312272656
0.525,50000,210,17,17.47,17.95299412,0.051,0.77,0.254069882,0.052487131,4.840612909,10329.27048,2169146.8,34541.14286,7253640,101.689864
1.112,110000,30,103,40,15.53398058,0.1,0.93,2.134214958,0.200410924,10.64919473,10329.41952,309882.5857,73161.4302,2194842.906,17.13600291
1.112,200000,140,17,17.47,17.95299412,0.032,0.87,1.079568518,0.055763731,19.3596894,10330.74425,1446304.195,73161.4302,10242600.23,43.98148017
0.525,60000,40,17,17.47,17.95299412,0.1,0.93,8.403361345,1.446965871,5.80757398,10331.33632,413253.4529,34541.14286,1381645.714,16.13987102
0.819,200000,90,34,33,32.02941176,0.051,0.77,1.773422253,0.091612056,19.35795723,10331.66866,929850.1792,53884.18286,4849576.457,19.59863139
0.413,100000,90,103,40,15.53398058,0.051,0.77,0.58044049,0.05997041,9.678781506,10331.87906,929869.1157,27172.36571,2445512.914,15.15643799
0.413,120000,180,47,54,62.04255319,0.032,0.87,0.381608748,0.032859208,11.61344952,10332.84726,1859912.506,27172.36571,4891025.829,25.25927768
0.525,110000,160,47,54,62.04255319,0.032,0.87,0.348277609,0.03271567,10.64559013,10332.91707,1653266.732,34541.14286,5526582.857,35.21196478
0.413,110000,50,103,40,15.53398058,0.1,0.93,2.068689908,0.194339906,10.64469957,10333.78155,516689.0776,27172.36571,1358618.286,7.653901892
0.413,200000,230,17,17.47,17.95299412,0.032,0.87,1.076974316,0.05564966,19.35275641,10334.44517,2376922.389,27172.36571,6249644.114,19.36360863
0.413,70000,30,34,33,32.02941176,0.051,0.77,11.07787748,1.635688036,6.772610201,10335.74913,310072.4739,27172.36571,815170.9714,7.215692822
0.819,90000,60,85,24,6.776470588,0.051,0.77,0.718236012,0.082485488,8.707422768,10336.00899,620160.5393,53884.18286,3233050.971,29.03211591
0.819,130000,40,34,33,32.02941176,0.1,0.93,5.8356676,0.46409904,12.57418589,10338.64149,413545.6596,53884.18286,2155367.314,13.39862811
1.112,90000,180,17,17.47,17.95299412,0.032,0.87,0.293882541,0.03376101,8.70479119,10339.13371,1861044.067,73161.4302,13169057.44,125.644593
0.525,200000,100,34,33,32.02941176,0.051,0.77,2.240896359,0.115844658,19.3439766,10339.13575,1033913.575,34541.14286,3454114.286,12.10100355
1.112,150000,60,34,33,32.02941176,0.1,0.93,2.204119058,0.151940789,14.50643423,10340.23921,620414.3527,73161.4302,4389685.812,25.1284764
0.819,200000,80,34,33,32.02941176,0.051,0.77,2.244487539,0.11605266,19.34025066,10341.12761,827290.2085,53884.18286,4310734.629,17.4172221
1.112,70000,40,103,40,15.53398058,0.1,0.93,0.763951945,0.112865798,6.768675356,10341.75763,413670.3052,73161.4302,2926457.208,35.89695576
0.413,60000,300,17,17.47,17.95299412,0.032,0.87,0.189906471,0.032735349,5.80126605,10342.56996,3102770.989,27172.36571,8151709.714,84.14897875
1.225,140000,120,34,33,32.02941176,0.032,0.87,0.466853408,0.03449094,13.53553753,10343.14298,1241177.157,80596,9671520,60.21673459
0.819,200000,140,17,17.47,17.95299412,0.032,0.87,1.46578778,0.0758083,19.33545236,10343.69387,1448117.142,53884.18286,7543785.6,30.47834229
1.112,110000,110,47,54,62.04255319,0.032,0.87,0.347884168,0.032714054,10.63408936,10344.09213,1137850.134,73161.4302,8047757.322,62.81733808
0.413,80000,160,17,17.47,17.95299412,0.1,0.93,0.890186583,0.115115155,7.733009468,10345.26084,1655241.734,27172.36571,4347578.514,33.65420976
0.819,140000,200,17,17.47,17.95299412,0.032,0.87,0.502765209,0.037154003,13.53192581,10345.9036,2069180.72,53884.18286,10776836.57,62.19754179
1.225,80000,20,34,33,32.02941176,0.051,0.77,9.603841537,1.242024335,7.732410117,10346.06271,206921.2543,80596,1611920,17.56248432
0.525,80000,90,47,54,62.04255319,0.1,0.93,0.800530351,0.103537149,7.731817609,10346.85556,931217.0002,34541.14286,3108702.857,27.21857321
1.112,200000,120,17,17.47,17.95299412,0.032,0.87,1.469412705,0.076025246,19.32795724,10347.70501,1241724.601,73161.4302,8779371.624,37.68823512
0.819,150000,70,34,33,32.02941176,0.1,0.93,2.19868167,0.151684837,14.49506563,10348.34914,724384.4399,53884.18286,3771892.8,20.3167224
0.819,140000,80,103,40,15.53398058,0.032,0.87,0.518629159,0.038338437,13.52765514,10349.16979,827933.5836,53884.18286,4310734.629,24.87715032
0.413,150000,160,17,17.47,17.95299412,0.051,0.77,1.669099843,0.115181132,14.49108737,10351.19009,1656190.415,27172.36571,4347578.514,17.94258733
0.413,110000,70,85,24,6.776470588,0.032,0.87,1.278961948,0.120361441,10.62601062,10351.95652,724636.9567,27172.36571,1902065.6,10.70389676
0.525,180000,140,17,17.47,17.95299412,0.032,0.87,2.057966044,0.118355623,17.38798713,10351.97454,1449276.435,34541.14286,4835760,18.81379758
1.112,60000,130,34,33,32.02941176,0.032,0.87,0.187806594,0.03240311,5.795943444,10352.06789,1345768.825,73161.4302,9510985.927,136.0869517
0.525,180000,230,17,17.47,17.95299412,0.032,0.87,0.762497816,0.043854723,17.38690293,10352.62005,2381102.613,34541.14286,7944462.857,30.90755691
0.413,110000,210,34,33,32.02941176,0.032,0.87,0.355267208,0.033442489,10.6232288,10354.66731,2174480.135,27172.36571,5706196.8,32.10651513
0.525,140000,250,17,17.47,17.95299412,0.032,0.87,0.501960784,0.037137523,13.51626986,10357.88731,2589471.827,34541.14286,8635285.714,43.18438491
0.413,150000,180,17,17.47,17.95299412,0.051,0.77,1.318794938,0.091067965,14.48143641,10358.0885,1864455.931,27172.36571,4891025.829,20.17713265
0.525,140000,100,103,40,15.53398058,0.032,0.87,0.517799353,0.038318171,13.51315433,10360.27537,1036027.537,34541.14286,3454114.286,17.2720482
0.819,90000,210,17,17.47,17.95299412,0.032,0.87,0.293157556,0.033752332,8.685549666,10362.0385,2176028.084,53884.18286,11315678.4,101.5516702
1.007,90000,80,85,24,6.776470588,0.032,0.87,0.328582277,0.037832246,8.68524379,10362.40343,828992.274,66253.20163,5300256.131,49.68070952
0.819,110000,80,34,33,32.02941176,0.1,0.93,1.234468146,0.116292893,10.61516409,10362.53411,829002.729,53884.18286,4310734.629,31.65210818
1.007,130000,90,47,54,62.04255319,0.051,0.77,0.678205021,0.054066281,12.54395544,10363.55722,932720.1501,66253.20163,5962788.147,38.69283074
0.525,150000,160,17,17.47,17.95299412,0.051,0.77,1.31302521,0.090718137,14.4736792,10363.63995,1658182.392,34541.14286,5526582.857,25.78933644
0.525,100000,80,103,40,15.53398058,0.051,0.77,0.577901063,0.05989209,9.649038164,10363.72728,829098.1821,34541.14286,2763291.429,19.34193247
1.007,90000,100,17,17.47,17.95299412,0.1,0.93,1.051463286,0.121088163,8.683452321,10364.54128,1036454.128,66253.20163,6625320.163,62.09851151
1.112,120000,50,85,24,6.776470588,0.032,0.87,1.015658062,0.087724038,11.57787628,10364.59512,518229.756,73161.4302,3658071.51,26.16534795
1.112,170000,40,103,40,15.53398058,0.032,0.87,1.855311867,0.113115189,16.40196934,10364.60906,414584.3624,73161.4302,2926457.208,14.77572262
1.112,150000,110,17,17.47,17.95299412,0.051,0.77,1.311541919,0.09062845,14.47163571,10365.10336,1140161.37,73161.4302,8047757.322,46.05063968
0.525,140000,140,34,33,32.02941176,0.051,0.77,0.800320128,0.059271002,13.5027264,10368.27644,1451558.701,34541.14286,4835760,24.17286642
1.112,140000,40,103,40,15.53398058,0.051,0.77,1.52790389,0.113156842,13.50253207,10368.42566,414737.0263,73161.4302,2926457.208,17.94085844
1.007,190000,160,17,17.47,17.95299412,0.032,0.87,0.86709212,0.047330089,18.32010312,10371.12066,1659379.306,66253.20163,10600512.26,47.0585945
1.225,130000,20,47,54,62.04255319,0.051,0.77,11.28962223,0.900667066,12.53473415,10371.18127,207423.6254,80596,1611920,10.80381827
1.225,50000,60,85,24,6.776470588,0.051,0.77,0.266773376,0.055343712,4.820301451,10372.79525,622367.7151,80596,4835760,84.2678457
0.525,110000,100,34,33,32.02941176,0.1,0.93,1.232492997,0.116240798,10.60292961,10374.49121,1037449.121,34541.14286,3454114.286,21.96968332
0.413,50000,120,34,33,32.02941176,0.1,0.93,0.494548102,0.102614903,4.819456913,10374.61293,1244953.552,27172.36571,3260683.886,40.31460668
1.225,110000,30,103,40,15.53398058,0.1,0.93,1.937344517,0.182740542,10.60161306,10375.77955,311273.3864,80596,2417880,19.15096921
0.413,190000,250,17,17.47,17.95299412,0.032,0.87,0.865973508,0.047290561,18.31176217,10375.84468,2593961.169,27172.36571,6793091.429,22.10068558
0.525,120000,160,47,54,62.04255319,0.032,0.87,0.37993921,0.032851706,11.56528098,10375.8828,1660141.248,34541.14286,5526582.857,32.22034674
0.413,140000,200,17,17.47,17.95299412,0.051,0.77,0.997008973,0.073900284,13.49127387,10377.07791,2075415.581,27172.36571,5434473.143,23.9932683
0.413,180000,260,17,17.47,17.95299412,0.032,0.87,0.758502177,0.043730807,17.3448019,10377.74896,2698214.731,27172.36571,7064815.086,24.25889086
0.413,130000,180,47,54,62.04255319,0.032,0.87,0.413409477,0.033008376,12.52438118,10379.75435,1868355.783,27172.36571,4891025.829,23.25130804
1.225,80000,70,103,40,15.53398058,0.032,0.87,0.258791846,0.033578227,7.707132512,10379.9954,726599.6778,80596,5641720,61.43900403
0.413,130000,160,34,33,32.02941176,0.051,0.77,0.723276599,0.05775522,12.52313817,10380.78461,1660925.538,27172.36571,4347578.514,20.66656135
0.819,100000,160,17,17.47,17.95299412,0.051,0.77,0.561121885,0.058253659,9.632388617,10381.64094,1661062.55,53884.18286,8621469.257,69.60406707
1.007,110000,30,103,40,15.53398058,0.1,0.93,2.356749785,0.222442333,10.5948798,10382.37357,311471.2071,66253.20163,1987596.049,15.23749856
1.112,180000,30,47,54,62.04255319,0.051,0.77,7.653451707,0.441485271,17.33568978,10383.2038,311496.1139,73161.4302,2194842.906,10.46303773
0.525,140000,100,17,17.47,17.95299412,0.032,0.87,3.137254902,0.232684497,13.48287035,10383.54567,1038354.567,34541.14286,3454114.286,17.25542656
0.413,70000,130,85,24,6.776470588,0.032,0.87,0.235978455,0.0350081,6.740681617,10384.70647,1350011.841,27172.36571,3532407.543,31.17708146
0.819,50000,120,34,33,32.02941176,0.051,0.77,0.249387504,0.051803119,4.81414069,10386.06954,1246328.345,53884.18286,6466101.943,104.395472
0.819,170000,190,17,17.47,17.95299412,0.032,0.87,0.67645497,0.041330222,16.36707792,10386.70438,1973473.833,53884.18286,10237994.74,48.61482888
1.112,120000,110,47,54,62.04255319,0.032,0.87,0.379510002,0.032849783,11.55289231,10387.00931,1142571.024,73161.4302,8047757.322,57.54321915
0.525,150000,140,17,17.47,17.95299412,0.051,0.77,1.714971703,0.118757388,14.44096854,10387.11493,1454196.091,34541.14286,4835760,22.5437594
0.413,140000,50,103,40,15.53398058,0.032,0.87,2.632878065,0.195354023,13.47747043,10387.70597,519385.2985,27172.36571,1358618.286,5.994521337
0.413,140000,140,47,54,62.04255319,0.051,0.77,0.735959728,0.054610755,13.47646124,10388.48385,1454387.739,27172.36571,3804131.2,16.78388186
0.819,100000,150,34,33,32.02941176,0.032,0.87,0.319216005,0.033164586,9.625207091,10389.38685,1558408.028,53884.18286,8082627.429,65.24219401
1.007,140000,40,34,33,32.02941176,0.1,0.93,5.111279864,0.379317253,13.47494694,10389.6513,415586.0519,66253.20163,2650128.065,15.96101438
1.112,200000,120,34,33,32.02941176,0.032,0.87,0.734706353,0.038169212,19.24866418,10390.33141,1246839.769,73161.4302,8779371.624,37.66265928
1.007,170000,60,47,54,62.04255319,0.1,0.93,1.99548785,0.121978392,16.35935525,10391.60758,623496.4546,66253.20163,3975192.098,19.71585673
0.819,150000,50,34,33,32.02941176,0.1,0.93,4.309416074,0.29855247,14.43436749,10391.86512,519593.2558,53884.18286,2694209.143,14.49743925
1.225,130000,60,17,17.47,17.95299412,0.032,0.87,3.468053888,0.277236938,12.50934999,10392.22662,623533.5973,80596,4835760,32.40174156
1.007,80000,60,85,24,6.776470588,0.051,0.77,0.519241129,0.06745562,7.697522192,10392.95477,623577.2864,66253.20163,3975192.098,41.89518514
0.413,110000,100,47,54,62.04255319,0.1,0.93,1.133377982,0.107090017,10.58341395,10393.62161,1039362.161,27172.36571,2717236.571,15.25340373
0.525,100000,200,17,17.47,17.95299412,0.051,0.77,0.56022409,0.058230466,9.620807228,10394.13821,2078827.642,34541.14286,6908228.571,48.2940093
1.112,90000,40,85,24,6.776470588,0.051,0.77,1.190224291,0.137463674,8.658464104,10394.45321,415778.1284,73161.4302,2926457.208,27.89643422
0.819,140000,80,17,17.47,17.95299412,0.032,0.87,3.142282554,0.233328232,13.46721968,10395.61271,831649.0165,53884.18286,4310734.629,24.85061152
