rho,W,V,S,b,AR,Cd0,e,CL,CD,CL/CD,TR,PR,TA,PA,RC
0.819,70000,40,47,54,62.04255319,0.032,0.87,2.273140571,0.062486953,36.37784296,1924.248232,76969.92928,53884.18286,2155367.314,29.69139121
0.413,50000,50,47,54,62.04255319,0.051,0.77,2.060687239,0.079308322,25.98324091,1924.3173,96215.86502,27172.36571,1358618.286,25.24804841
0.525,70000,50,47,54,62.04255319,0.032,0.87,2.269503546,0.062389473,36.3763859,1924.325308,96216.2654,34541.14286,1727057.143,23.29772682
0.413,50000,70,34,33,32.02941176,0.032,0.87,1.45336585,0.056140821,25.88786233,1931.407057,135198.494,27172.36571,1902065.6,35.33734212
0.819,50000,50,34,33,32.02941176,0.032,0.87,1.436472025,0.05558286,25.84379451,1934.700416,96735.02081,53884.18286,2694209.143,51.94948244
1.225,60000,40,47,54,62.04255319,0.032,0.87,1.302648719,0.04201189,31.00666782,1935.067655,77402.70621,80596,3223840,52.44062156
0.413,50000,60,34,33,32.02941176,0.032,0.87,1.978192407,0.076723852,25.78327816,1939.241383,116354.483,27172.36571,1630341.943,30.2797492
1.225,70000,30,47,54,62.04255319,0.032,0.87,2.701789936,0.075068981,35.99076342,1944.943462,58348.30386,80596,2417880,33.70759566
0.413,70000,60,47,54,62.04255319,0.032,0.87,2.003445927,0.055681908,35.98019539,1945.514726,116730.8836,27172.36571,1630341.943,21.62301513
1.225,50000,30,47,54,62.04255319,0.051,0.77,1.929849954,0.075827732,25.45045061,1964.601758,58938.05273,80596,2417880,47.17883895
0.413,70000,50,47,54,62.04255319,0.032,0.87,2.884962135,0.081106804,35.56991501,1967.955222,98397.76111,27172.36571,1358618.286,18.00315035
0.413,50000,30,47,54,62.04255319,0.032,0.87,5.72413122,0.225321697,25.40426105,1968.17376,59045.21281,27172.36571,815170.9714,15.12251517
0.413,60000,70,47,54,62.04255319,0.032,0.87,1.261645248,0.041391521,30.48076531,1968.454512,137791.8158,27172.36571,1902065.6,29.40456307
1.007,70000,40,47,54,62.04255319,0.032,0.87,1.848760802,0.052166145,35.43985856,1975.177183,79007.08733,66253.20163,2650128.065,36.73029969
0.819,60000,50,47,54,62.04255319,0.032,0.87,1.24697997,0.041174457,30.28527991,1981.16049,99058.02452,53884.18286,2694209.143,43.25251864
1.112,70000,30,47,54,62.04255319,0.032,0.87,2.97634233,0.084266955,35.32039729,1981.857662,59455.72986,73161.4302,2194842.906,30.50553109
0.525,50000,50,34,33,32.02941176,0.032,0.87,2.240896359,0.089391249,25.06840856,1994.542249,99727.11246,34541.14286,1727057.143,32.54660061
0.819,50000,40,34,33,32.02941176,0.032,0.87,2.244487539,0.089575343,25.05697957,1995.452,79818.08001,53884.18286,2155367.314,41.51098469
1.112,70000,40,47,54,62.04255319,0.032,0.87,1.674192561,0.048537591,34.49269974,2029.414935,81176.5974,73161.4302,2926457.208,40.64686587
1.225,50000,20,47,54,62.04255319,0.051,0.77,4.342162397,0.176690394,24.5749771,2034.589892,40691.79784,80596,1611920,31.42456404
1.007,50000,50,34,33,32.02941176,0.032,0.87,1.16829254,0.047599308,24.54431755,2037.131401,101856.5701,66253.20163,3312660.082,64.21607023
1.007,70000,30,47,54,62.04255319,0.032,0.87,3.28668587,0.095734977,34.3310875,2038.968326,61169.04978,66253.20163,1987596.049,27.5203857
0.525,50000,70,34,33,32.02941176,0.032,0.87,1.143314469,0.046939413,24.35723827,2052.777882,143694.4518,34541.14286,2417880,45.48371096
0.525,50000,30,47,54,62.04255319,0.051,0.77,4.502983226,0.186173209,24.18706351,2067.220768,62016.62303,34541.14286,1036234.286,19.48435325
0.525,70000,60,47,54,62.04255319,0.032,0.87,1.576044129,0.046655417,33.78051736,2072.200353,124332.0212,34541.14286,2072468.571,27.83052215
0.413,50000,80,34,33,32.02941176,0.032,0.87,1.112733229,0.046150906,24.11075581,2073.763278,165901.0622,27172.36571,2173789.257,40.1577639
0.525,70000,40,47,54,62.04255319,0.032,0.87,3.546099291,0.106193049,33.39295098,2096.250794,83850.03176,34541.14286,1381645.714,18.53993832
1.225,70000,40,47,54,62.04255319,0.032,0.87,1.519756839,0.045627295,33.30806366,2101.593197,84063.7279,80596,3223840,44.85394674
0.819,50000,40,47,54,62.04255319,0.051,0.77,1.623671836,0.068574642,23.67743813,2111.714947,84468.59789,53884.18286,2155367.314,41.41797433
0.525,50000,50,47,54,62.04255319,0.051,0.77,1.621073961,0.068518448,23.65894167,2113.365876,105668.2938,34541.14286,1727057.143,32.42777698
1.112,50000,50,34,33,32.02941176,0.032,0.87,1.057977148,0.044792479,23.6195266,2116.892555,105844.6277,73161.4302,3658071.51,71.04453765
1.225,50000,30,34,33,32.02941176,0.032,0.87,2.66773376,0.113336805,23.53810637,2124.215059,63726.45176,80596,2417880,47.08307096
1.112,50000,20,47,54,62.04255319,0.051,0.77,4.783407317,0.203533309,23.50184026,2127.492973,42549.85946,73161.4302,1463228.604,28.41357489
0.413,70000,70,47,54,62.04255319,0.032,0.87,1.471919457,0.044782904,32.86788758,2129.73833,149081.6831,27172.36571,1902065.6,25.04262738
0.819,70000,50,47,54,62.04255319,0.032,0.87,1.454809965,0.044487456,32.70157692,2140.569556,107028.4778,53884.18286,2694209.143,36.95972379
1.007,50000,50,47,54,62.04255319,0.032,0.87,0.845147795,0.036214313,23.33739703,2142.484011,107124.2005,66253.20163,3312660.082,64.11071762
0.819,50000,20,47,54,62.04255319,0.032,0.87,6.494687346,0.280873087,23.12320986,2162.329551,43246.59102,53884.18286,1077683.657,20.68874132
0.819,50000,60,34,33,32.02941176,0.032,0.87,0.997550017,0.043372907,22.99938096,2173.971556,130438.2933,53884.18286,3233050.971,62.05225356
0.525,50000,70,47,54,62.04255319,0.032,0.87,0.827078552,0.036036035,22.95143029,2178.513468,152495.9428,34541.14286,2417880,45.30768114
0.413,50000,50,34,33,32.02941176,0.032,0.87,2.848597066,0.124739379,22.83638973,2189.487944,109474.3972,27172.36571,1358618.286,24.98287777
0.413,80000,60,47,54,62.04255319,0.032,0.87,2.289652488,0.062931472,36.38326628,2198.813031,131928.7818,27172.36571,1630341.943,18.73016451
1.007,80000,40,47,54,62.04255319,0.032,0.87,2.112869488,0.058339455,36.21681925,2208.918444,88356.73774,66253.20163,2650128.065,32.02214159
0.525,80000,50,47,54,62.04255319,0.032,0.87,2.593718338,0.071692373,36.17844177,2211.261627,110563.0813,34541.14286,1727057.143,20.20617577
0.819,80000,40,47,54,62.04255319,0.032,0.87,2.597874938,0.071819694,36.17218055,2211.644385,88465.77539,53884.18286,2155367.314,25.83626924
1.007,60000,30,47,54,62.04255319,0.051,0.77,2.817159317,0.103906957,27.11232631,2213.01556,66390.46681,66253.20163,1987596.049,32.02009304
1.225,60000,20,47,54,62.04255319,0.032,0.87,5.210594876,0.192190241,27.11165176,2213.070621,44261.41242,80596,1611920,26.12764313
1.225,50000,50,34,33,32.02941176,0.032,0.87,0.960384154,0.04254125,22.57536289,2214.803821,110740.1911,80596,4029800,78.38119618
1.112,60000,30,47,54,62.04255319,0.051,0.77,2.551150569,0.094387252,27.02854999,2219.874911,66596.24733,73161.4302,2194842.906,35.47077765
0.525,60000,40,47,54,62.04255319,0.051,0.77,3.039513678,0.112588293,26.99671155,2222.492909,88899.71637,34541.14286,1381645.714,21.54576663
0.819,70000,30,47,54,62.04255319,0.032,0.87,4.041138793,0.128353827,31.48436532,2223.325746,66699.77237,53884.18286,1616525.486,22.14036733
1.112,50000,30,34,33,32.02941176,0.032,0.87,2.93882541,0.130707399,22.48400188,2223.803408,66714.10223,73161.4302,2194842.906,42.56257608
0.413,50000,80,47,54,62.04255319,0.032,0.87,0.804955953,0.035823012,22.4703593,2225.15356,178012.2848,27172.36571,2173789.257,39.91553945
0.413,60000,50,47,54,62.04255319,0.051,0.77,2.472824687,0.091763984,26.94766055,2226.538363,111326.9181,27172.36571,1358618.286,20.78818946
1.112,80000,40,47,54,62.04255319,0.032,0.87,1.913362927,0.053600119,35.69699016,2241.085303,89643.41211,73161.4302,2926457.208,35.46017245
1.007,50000,20,47,54,62.04255319,0.051,0.77,5.28217372,0.23700102,22.28755692,2243.404253,44868.08507,66253.20163,1325064.033,25.60391895
1.225,60000,30,47,54,62.04255319,0.051,0.77,2.315819945,0.086751934,26.69473552,2247.634181,67429.02542,80596,2417880,39.17418291
1.007,60000,50,47,54,62.04255319,0.032,0.87,1.014177354,0.03806861,26.64077686,2252.186576,112609.3288,66253.20163,3312660.082,53.33417921
0.413,50000,60,47,54,62.04255319,0.051,0.77,1.431032805,0.064651776,22.13447024,2258.920113,135535.2068,27172.36571,1630341.943,29.89613472
0.525,60000,30,47,54,62.04255319,0.032,0.87,5.403579872,0.204275924,26.45235799,2268.228792,68046.86376,34541.14286,1036234.286,16.13645703
0.819,60000,30,47,54,62.04255319,0.051,0.77,3.463833251,0.130984147,26.44467536,2268.887751,68066.63252,53884.18286,1616525.486,25.80764755
0.525,80000,60,47,54,62.04255319,0.032,0.87,1.801193291,0.051141769,35.21961234,2271.461685,136287.7011,34541.14286,2072468.571,24.20226088
0.525,60000,70,47,54,62.04255319,0.032,0.87,0.992494262,0.037811891,26.24820501,2285.870594,160010.9416,34541.14286,2417880,37.63115097
1.225,80000,30,47,54,62.04255319,0.032,0.87,3.087759927,0.088253363,34.98744776,2286.534318,68596.02953,80596,2417880,29.36604963
1.225,80000,40,47,54,62.04255319,0.032,0.87,1.736864959,0.049798916,34.87756585,2293.738054,91749.52215,80596,3223840,39.15113097
0.819,60000,50,34,33,32.02941176,0.032,0.87,1.72376643,0.065959319,26.13378145,2295.878999,114793.95,53884.18286,2694209.143,42.99025321
0.413,60000,70,34,33,32.02941176,0.032,0.87,1.74403902,0.066762783,26.1229229,2296.83333,160778.3331,27172.36571,1902065.6,29.02145445
1.225,60000,40,34,33,32.02941176,0.032,0.87,1.800720288,0.069059082,26.07506859,2301.048597,92041.9439,80596,3223840,52.19663427
0.525,60000,60,34,33,32.02941176,0.032,0.87,1.867413632,0.071855034,25.9886263,2308.702249,138522.135,34541.14286,2072468.571,32.23244061
0.413,80000,70,47,54,62.04255319,0.032,0.87,1.682193665,0.048696038,34.54477479,2315.835043,162108.453,27172.36571,1902065.6,21.74946434
1.112,50000,50,47,54,62.04255319,0.032,0.87,0.765345171,0.035456019,21.58576148,2316.341726,115817.0863,73161.4302,3658071.51,70.84508848
0.413,50000,90,34,33,32.02941176,0.032,0.87,0.879196625,0.040834341,21.53081457,2322.253059,209002.7753,27172.36571,2445512.914,44.73020278
0.819,80000,50,47,54,62.04255319,0.032,0.87,1.662639961,0.048310147,34.41595763,2324.503094,116225.1547,53884.18286,2694209.143,32.22479985
0.525,50000,80,34,33,32.02941176,0.032,0.87,0.87535014,0.04075721,21.4771852,2328.051816,186244.1453,34541.14286,2763291.429,51.54094567
1.112,60000,40,34,33,32.02941176,0.032,0.87,1.983707152,0.076973559,25.77128021,2328.173048,93126.92192,73161.4302,2926457.208,47.22217144
0.413,60000,80,47,54,62.04255319,0.032,0.87,0.965947143,0.037505137,25.75506212,2329.63911,186371.1288,27172.36571,2173789.257,33.12363547
1.007,60000,50,34,33,32.02941176,0.032,0.87,1.401951049,0.054463004,25.7413463,2330.880417,116544.0209,66253.20163,3312660.082,53.26860101
0.413,80000,50,47,54,62.04255319,0.032,0.87,3.297099583,0.096139499,34.29495266,2332.70478,116635.239,27172.36571,1358618.286,15.52478808
0.413,60000,40,47,54,62.04255319,0.051,0.77,3.863788573,0.150521445,25.66935613,2337.417413,93496.69654,27172.36571,1086894.629,16.5566322
0.525,60000,70,34,33,32.02941176,0.032,0.87,1.371977362,0.053512755,25.6383243,2340.24655,163817.2585,34541.14286,2417880,37.56771236
1.007,50000,30,34,33,32.02941176,0.032,0.87,3.245257057,0.152365034,21.29922446,2347.503314,70425.09942,66253.20163,1987596.049,38.34341899
1.225,50000,20,47,54,62.04255319,0.1,0.93,4.342162397,0.204066241,21.27820057,2349.82276,46996.4552,80596,1611920,31.2984709
0.819,60000,40,47,54,62.04255319,0.051,0.77,1.948406204,0.076307484,25.53361871,2349.843188,93993.72752,53884.18286,2155367.314,34.35622645
0.525,60000,50,47,54,62.04255319,0.051,0.77,1.945288754,0.076226565,25.51982705,2351.113112,117555.6556,34541.14286,1727057.143,26.82502479
0.525,50000,30,47,54,62.04255319,0.1,0.93,4.502983226,0.211917603,21.24874556,2353.080084,70592.40253,34541.14286,1036234.286,19.31283766
0.413,50000,30,47,54,62.04255319,0.051,0.77,5.72413122,0.269428411,21.24546254,2353.443701,70603.31103,27172.36571,815170.9714,14.89135321
0.413,60000,80,34,33,32.02941176,0.032,0.87,1.335279875,0.052377305,25.49348191,2353.542768,188283.4215,27172.36571,2173789.257,33.09176393
1.112,80000,30,47,54,62.04255319,0.032,0.87,3.401534092,0.100267043,33.92474715,2358.160538,70744.81614,73161.4302,2194842.906,26.55122612
0.413,70000,40,47,54,62.04255319,0.032,0.87,4.507753336,0.151889659,29.67781592,2358.664135,94346.56538,27172.36571,1086894.629,14.17925805
1.112,50000,20,47,54,62.04255319,0.1,0.93,4.783407317,0.226291019,21.13829939,2365.374767,47307.49534,73161.4302,1463228.604,28.31842217
1.112,60000,20,47,54,62.04255319,0.032,0.87,5.74008878,0.226401073,25.35362892,2366.525131,47330.50262,73161.4302,1463228.604,23.59830169
1.007,50000,40,47,54,62.04255319,0.051,0.77,1.32054343,0.062625064,21.08650038,2371.185313,94847.41253,66253.20163,2650128.065,51.10561306
1.007,60000,40,34,33,32.02941176,0.032,0.87,2.190548513,0.086841319,25.22472654,2378.618452,95144.73809,66253.20163,2650128.065,42.58305545
1.007,70000,50,47,54,62.04255319,0.032,0.87,1.183206913,0.040260053,29.3891047,2381.835061,119091.7531,66253.20163,3312660.082,45.62240469
